id,filename,sourceFile,publicUrl,fileType,currentPageUsage,proposedDepartment,visualSystem,mediaRole,status,leakRisk
4,1953-ibm-650-with-operator.jpg,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/1953-ibm-650-with-operator.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
1,1956-automation-hero-poster.png,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/1956-automation-hero-poster.png,image,article,magazine-time-machine,,literal-url,referenced,false
2,1956-automation-playboy-cartoon.jpg,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/1956-automation-playboy-cartoon.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
6,1965-system360-model-65.jpg,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/1965-system360-model-65.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
11,future-workshop.png,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/future-workshop.png,image,article,magazine-time-machine,,literal-url,referenced,false
3,ibm-1930s-magnetictapeunit-thp-master-box.jpg,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/ibm-1930s-magnetictapeunit-thp-master-box.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
7,IBM-research-fractal-style-lab.png,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/IBM-research-fractal-style-lab.png,image,article,magazine-time-machine,,literal-url,referenced,false
5,ibm1401.jpg,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/ibm1401.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
8,modern-ibm.png,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/modern-ibm.png,image,article,magazine-time-machine,,literal-url,referenced,false
9,moya-poster.png,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/moya-poster.png,image,article,magazine-time-machine,,literal-url,referenced,false
10,moya.mp4,src/content/blog/1956-automation.md,https://cdn.hob.farm/blog/1956-automation/moya.mp4,video,article,magazine-time-machine,,literal-url,referenced,false
12,airbrush_hero.png,src/content/blog/1973-when-airbrush-was-ai.md,https://cdn.hob.farm/pages/blog/airbrush_hero.png,image,article,magazine-time-machine,,literal-url,referenced,false
27,1985-2026-car.mp4,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-2026-car.mp4,video,article,magazine-time-machine,,literal-url,referenced,false
18,1985-2026-droid.mp4,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-2026-droid.mp4,video,article,magazine-time-machine,,literal-url,referenced,false
13,1985-2026-future-tech-hero.png,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-2026-future-tech-hero.png,image,article,magazine-time-machine,,literal-url,referenced,false
24,1985-2026-mobile.mp4,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-2026-mobile.mp4,video,article,magazine-time-machine,,literal-url,referenced,false
21,1985-2026-vr.mp4,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-2026-vr.mp4,video,article,magazine-time-machine,,literal-url,referenced,false
26,1985-car.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-car.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
17,1985-droid.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-droid.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
23,1985-mobile.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-mobile.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
20,1985-vr.jpg,src/content/blog/1985-future-tech.md,https://cdn.hob.farm/articles/mtm/1985-future-tech/1985-vr.jpg,image,article,magazine-time-machine,,literal-url,referenced,false
