"relative_path","year_folder","filename","width","height","bytes","sha256","identification_status","catalogue_title","catalogue_number","catalogue_url","rights_status"
"1925\1.JPG","1925","1.JPG","837","1200","595586","57341b5d6f412cf6a4b5ae00243c6fe78b6c28889c5f9004cac972df27d49032","unverified","","","","research-only"
"1925\2.JPG","1925","2.JPG","1074","1600","896137","32d2122ea771bc2f9511fabc0cea36c44cbcfc45f64a1b6eb2640b9721f3b70c","unverified","","","","research-only"
"1925\3.JPG","1925","3.JPG","821","1200","511516","8623b0a266eb0004a70de9fb88a2b295813bec7adbc26b3133e23c84019d47d5","unverified","","","","research-only"
"1925\4.JPG","1925","4.JPG","1054","1600","788375","00502ec0116d916862e23671809f87d326c2e619f231878f8ec3cd67d259fd4b","unverified","","","","research-only"
"1925\5.JPG","1925","5.JPG","1591","1600","1313824","4fa7e9ef3d831a95eb7aaf0a1ffdee71fe3a67be088bcbad598810abea794b8a","unverified","","","","research-only"
"1925\6.JPG","1925","6.JPG","1698","1600","1531042","b722d40ef43fdb9aa709469e6cf78d5c8dca025093a1ed588536f12a4b3f20b9","unverified","","","","research-only"
"1926\10.JPG","1926","10.JPG","2145","1600","1938114","8c0b35d9d6835cbee7f691502a62d6b345be1aa8616192ce1f9452e95a9e74cc","unverified","","","","research-only"
"1926\11.JPG","1926","11.JPG","2017","1600","2135928","9c135b6de2051be6b43a3b5930af939b0a8ad336ef2c7371ea9a909109a6d55d","unverified","","","","research-only"
"1926\12.JPG","1926","12.JPG","1229","1600","1204620","c4f39f6d3e61041b9cd38b2258263f40388a6b8af6110fd68151499af018d56f","unverified","","","","research-only"
"1926\7.JPG","1926","7.JPG","2347","1600","2056432","551adcb09e6b980403fa9aa6f9428b87f78d72bd9778a403ec9fc4c3d039924c","unverified","","","","research-only"
"1926\8.JPG","1926","8.JPG","2373","1600","1900045","e20aed8488253402817ae33a65bc03f65646870803204eb4ab3cfe6c0bae44c0","unverified","","","","research-only"
"1926\9.JPG","1926","9.JPG","955","1600","26624","7374a4344179b240bdc8172beb87d6773f3c9761c34bf96b7c6417ad02f0fffb","unverified","","","","research-only"
"1927\13.JPG","1927","13.JPG","841","1200","405119","f248805681e7c1ecb9a6ab32b30ff2b212a24df08189f0020e5aa4f961213c1f","unverified","","","","research-only"
"1927\14.JPG","1927","14.JPG","2137","1600","1773346","571ec302bd9bc4867f02a53747ab1f4ed5d5937813eeb65fb9cb055fd333ceec","unverified","","","","research-only"
"1928\15.JPG","1928","15.JPG","1921","1600","1791772","00376ef9369851c0191172d5aa27b2eb3fe65eda266473a3096a51a6b94ea0bf","unverified","","","","research-only"
"1928\16.JPG","1928","16.JPG","2179","1600","2352045","8d59a417d5bb393abce582168621384b8f50377f5df57e33a2f0949ab6ab2d2f","unverified","","","","research-only"
"1928\17.JPG","1928","17.JPG","1273","1600","910548","d07321de725775d3e3d3818a7c2716644143d6bcfb5520c902a97573ea337951","unverified","","","","research-only"
"1928\18.JPG","1928","18.JPG","1330","1600","1012928","6e67dfb69cd3da987fadc28bab4a2e6864b2818ab8f3d71833ae12f6ad194d25","unverified","","","","research-only"
"1928\19.JPG","1928","19.JPG","1128","1600","845585","3f2bdc27700de662b6802864a7884b2aee07a33257eb25a0deeb8f4727edd17f","unverified","","","","research-only"
"1929\20.JPG","1929","20.JPG","2318","1600","2559877","34ab2886129f14ec5fb050a07216d0dafb6d73de2510743d58c1068e2134d681","unverified","","","","research-only"
"1929\21.JPG","1929","21.JPG","908","1600","867927","38a4d0f15140b3751ee1401a65890a70729053f241e657694df52817d74e78a0","unverified","","","","research-only"
"1929\22.JPG","1929","22.JPG","2143","1600","1833440","85707c6d89b18e2269be716009fbee09258881ad433ba2bcd4cd898d776e0de2","unverified","","","","research-only"
"1929\23.JPG","1929","23.JPG","1061","1600","819115","8490cb884931ac65e6be918b5f54297f7e4e817e7e5a120db0ce98bf560483e0","unverified","","","","research-only"
"1929\24.JPG","1929","24.JPG","2141","1600","1723935","371aece9091aa38213316931141f589ca123bb20d4f49def7505c96d6525cf6f","unverified","","","","research-only"
"1929\25.JPG","1929","25.JPG","1171","1600","889524","d05a6c93955f9282b1a163bb4723edf5b9a58e2adb80cf13e82e49905cdb0f9b","unverified","","","","research-only"
"1929\26.JPG","1929","26.JPG","2586","1600","2430568","53c8ca52507d0fa7a8082546dd003a868769f48caebea66e95a9ca77f95f677b","unverified","","","","research-only"
"1929\27.JPG","1929","27.JPG","1372","1600","1001381","b6337d514ad97441047cf865a171b569a0ea1b83b43305ec93f09cc9312e7843","unverified","","","","research-only"
"1930\28.JPG","1930","28.JPG","1269","1600","1067990","f9c3ca0003845bf5cf432efd53384a3b88ac37a4c9f2c1e2d2dbc5ece56afdec","unverified","","","","research-only"
"1930\29.JPG","1930","29.JPG","1901","1600","2217493","2f512d2eec52b068496862017788c2c9c6c77fd0dc112a68d5521f897e284caf","unverified","","","","research-only"
"1930\30.JPG","1930","30.JPG","1224","1600","1143759","a2cdc85d870cd8bff2968a33c0512569cfc45578d82ea8a8bb29582a278ee95d","unverified","","","","research-only"
"1930\31.JPG","1930","31.JPG","1305","1600","854708","5724cb0a8f01182e5c5de216606891b55b9047db761612ce011b12e07c2265f7","unverified","","","","research-only"
"1931\32.JPG","1931","32.JPG","2105","1600","1610229","ef57b71f8bb91c6deab4aa76770b6fc60182fe3471d571597fba2fa48d58b2d0","unverified","","","","research-only"
