scenario_id,mode,elevation_ft_ngvd29,lake_salinity_ppt,recovery,product_afy,installed_nameplate_afy,lake_withdrawal_afy,evaporation_afy,treated_inlet_afy,inlet_salinity_ppt,brine_afy,brine_salinity_ppt,salt_metric_tons,pond_minimum_acres,gulf_raw_afy,drainage_admitted_afy
pilot-10-mgd-us-screening-minus-240-steady-state-35-5,steady-state,-240,35.5,0.45,11201,13101,24892,1132925,1157817,0.76,13691,64.5,1089988,2445,398504,799164
pilot-10-mgd-us-screening-minus-240-steady-state-40,steady-state,-240,40,0.45,11201,13101,24892,1132925,1157817,0.86,13691,72.7,1228156,2445,398504,799164
bahrain-actual-2024-screening-minus-240-steady-state-35-5,steady-state,-240,35.5,0.45,227847,266488,506326,1132925,1639251,10.97,278479,64.5,22171323,49728,976760,760168
bahrain-actual-2024-screening-minus-240-steady-state-40,steady-state,-240,40,0.45,227847,266488,506326,1132925,1639251,12.36,278479,72.7,24981772,49728,976760,760168
cvwd-farm-deliveries-screening-minus-240-steady-state-35-5,steady-state,-240,35.5,0.45,260000,304094,577778,1132925,1710703,11.99,317778,64.5,25300083,56746,1062581,754380
cvwd-farm-deliveries-screening-minus-240-steady-state-40,steady-state,-240,40,0.45,260000,304094,577778,1132925,1710703,13.51,317778,72.7,28507136,56746,1062581,754380
bahrain-nameplate-screening-minus-240-steady-state-35-5,steady-state,-240,35.5,0.45,286535,335129,636745,1132925,1769670,12.77,350209,64.5,27882155,62537,1133406,749604
bahrain-nameplate-screening-minus-240-steady-state-40,steady-state,-240,40,0.45,286535,335129,636745,1132925,1769670,14.39,350209,72.7,31416513,62537,1133406,749604
half-million-screening-minus-240-steady-state-35-5,steady-state,-240,35.5,0.45,500000,584795,1111111,1132925,2244036,17.58,611111,64.5,48654006,109127,1703173,711180
half-million-screening-minus-240-steady-state-40,steady-state,-240,40,0.45,500000,584795,1111111,1132925,2244036,19.81,611111,72.7,54821415,109127,1703173,711180
one-million-screening-minus-240-steady-state-35-5,steady-state,-240,35.5,0.45,1000000,1169591,2222222,1132925,3355147,23.51,1222222,64.5,97308012,218254,3037741,621180
one-million-screening-minus-240-steady-state-40,steady-state,-240,40,0.45,1000000,1169591,2222222,1132925,3355147,26.49,1222222,72.7,109642830,218254,3037741,621180
pilot-10-mgd-us-current-transition-sensitivity-90,transition-sensitivity,-243.86,90,0.25,11201,13101,44806,1054244,1099050,3.67,33604,120,4974031,6001,333207,799164
bahrain-actual-2024-current-transition-sensitivity-90,transition-sensitivity,-243.86,90,0.25,227847,266488,911387,1054244,1965631,41.73,683541,120,101176176,122061,1339404,760168
cvwd-farm-deliveries-current-transition-sensitivity-90,transition-sensitivity,-243.86,90,0.25,260000,304094,1040000,1054244,2094244,44.69,780000,120,115453900,139286,1488738,754380
bahrain-nameplate-current-transition-sensitivity-90,transition-sensitivity,-243.86,90,0.25,286535,335129,1146140,1054244,2200384,46.88,859605,120,127236876,153501,1611978,749604
half-million-current-transition-sensitivity-90,transition-sensitivity,-243.86,90,0.25,500000,584795,2000000,1054244,3054244,58.93,1500000,120,222026731,267857,2603404,711180
one-million-current-transition-sensitivity-90,transition-sensitivity,-243.86,90,0.25,1000000,1169591,4000000,1054244,5054244,71.23,3000000,120,444053462,535714,4925627,621180
bahrain-nameplate-screening-minus-230-brief-checkpoint-35-5,brief-checkpoint,-230,35.5,0.45,286535,335129,636745,1306351,1943096,11.63,350209,64.5,27882155,62537,1326102,749604
